date,total_equity,cash,strategy,group,target_weight,selected_ticker
2026-02-11,569.63,130.98,daa,EWJ,0.2500,
2026-02-11,569.63,130.98,daa,GLD,0.2500,
2026-02-11,569.63,130.98,vaa,EEM,0.5000,
2026-02-11,570.23,130.98,daa,EWJ,0.2500,
2026-02-11,570.23,130.98,daa,GLD,0.2500,
2026-02-11,570.23,130.98,vaa,EEM,0.5000,
2026-02-11,569.97,130.98,daa,EWJ,0.2500,
2026-02-11,569.97,130.98,daa,GLD,0.2500,
2026-02-11,569.97,130.98,vaa,EEM,0.5000,
2026-02-11,570.09,130.98,daa,EWJ,0.2500,
2026-02-11,570.09,130.98,daa,GLD,0.2500,
2026-02-11,570.09,130.98,vaa,EEM,0.5000,
2026-02-11,569.72,130.98,daa,EWJ,0.2500,
2026-02-11,569.72,130.98,daa,GLD,0.2500,
2026-02-11,569.72,130.98,vaa,EEM,0.5000,
2026-02-12,563.77,130.98,daa,EWJ,0.2500,
2026-02-12,563.77,130.98,daa,GLD,0.2500,
2026-02-12,563.77,130.98,vaa,EEM,0.5000,
2026-02-13,566.44,130.98,daa,EWJ,0.2500,
2026-02-13,566.44,130.98,daa,GLD,0.2500,
2026-02-13,566.44,130.98,vaa,EEM,0.5000,
